Top pages,Clicks,Impressions,CTR,Position
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_la_670wa_4d/,70,1089,6.43%,4.62
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_2110d_7a/,70,628,11.15%,5.17
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_574d_1a/,70,625,11.2%,4.9
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_m306d_1a/,70,614,11.4%,4.08
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_526l_7a/,70,539,12.99%,7.27
https://tempus.ru/catalog/watches/casio/g_shock/casio_gw_5000hs_1e/,69,704,9.8%,5.83
https://tempus.ru/catalog/watches/vostok/,68,12945,0.53%,9.08
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_aq_230a_7a/,68,2574,2.64%,6.68
https://tempus.ru/catalog/watches/casio/g_shock/casio_gg_1000_1a5/,68,2289,2.97%,7.88
https://tempus.ru/catalog/watches/casio/g_shock/casio_gba_800_1a/,68,1429,4.76%,5.7
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_100_1e/,68,1206,5.64%,5.26
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_b195d_2a/,68,568,11.97%,5.08
https://tempus.ru/catalog/watches/casio/g_shock/casio_gg_1000_1a3/,67,1716,3.9%,7.34
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mdv_107_1a2/,67,803,8.34%,4.9
https://tempus.ru/catalog/,66,7148,0.92%,1.73
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_aq_230a_7d/,66,1310,5.04%,5.14
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbx_100ns_1e/,66,1101,5.99%,5.99
https://tempus.ru/catalog/watches/timex/,65,4259,1.53%,9.73
https://tempus.ru/catalog/watches/orient/orient_star/,65,2674,2.43%,8.58
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_vd01d_2b/,65,1643,3.96%,5.91
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mw_240_1e/,65,1173,5.54%,5.49
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_200sm_1a6/,65,955,6.81%,5.29
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1200whl_5a/,65,736,8.83%,4.78
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s108d_7a/,65,685,9.49%,5.2
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_m306m_1a/,65,673,9.66%,5.01
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_s110d_1a/,65,425,15.29%,5.51
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ae_1000w_1a/,64,1764,3.63%,5.08
https://tempus.ru/catalog/watches/casio/casio_collections/casio_aq_s810w_1a/,64,793,8.07%,5.32
https://tempus.ru/catalog/watches/casio/edifice/casio_efs_s570db_2a/,64,633,10.11%,5.61
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_vd01_1e/,63,1926,3.27%,4.74
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_b2100_1a/,63,1161,5.43%,6.22
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_s567d_1a/,63,908,6.94%,4.84
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbm_2100a_1a2/,63,719,8.76%,5.97
https://tempus.ru/catalog/watches/,62,5772,1.07%,4.36
https://tempus.ru/catalog/watches/orient/3_stars_steel/,62,2344,2.65%,8.47
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_700_7a/,62,2199,2.82%,6.49
https://tempus.ru/catalog/watches/casio/sports/,62,1885,3.29%,9.62
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_b2100_1a1/,62,1281,4.84%,7.37
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_700wem_7a/,62,1161,5.34%,6.62
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a500wa_1d/,62,872,7.11%,4.67
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v009d_7e/,62,760,8.16%,7.15
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mts_115d_1a/,62,468,13.25%,4.17
https://tempus.ru/shop/msk1/,62,417,14.87%,6.16
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1183a_7a/,61,2003,3.05%,5.59
https://tempus.ru/catalog/watches/casio/edifice/casio_eqb_2000db_1a/,61,1436,4.25%,2.85
https://tempus.ru/catalog/watches/casio/edifice/casio_efr_571d_1a/,61,734,8.31%,5.35
https://tempus.ru/catalog/watches/casio/edifice/casio_ef_539d_1a2/,61,733,8.32%,4.08
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1375d_7a/,61,493,12.37%,5.19
https://tempus.ru/catalog/watches/casio/vintage/,60,5554,1.08%,10.55
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v007l_9b/,60,858,6.99%,5.63
https://tempus.ru/catalog/watches/casio/g_shock/casio_gbd_200uu_1e/,60,635,9.45%,4.93
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mts_rs100d_3a/,60,453,13.25%,4.61
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_s10db_1a/,60,395,15.19%,4.83
https://tempus.ru/contacts/,59,4863,1.21%,1.99
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_700we_1a/,59,1264,4.67%,5.24
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_c100d_1a/,59,1022,5.77%,4.89
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b400bb_1a/,59,783,7.54%,6.03
https://tempus.ru/catalog/watches/casio/g_shock/casio_gst_b500d_1a/,59,555,10.63%,8.58
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prw_61ld_3e/,59,527,11.2%,5.17
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_v007g_9b/,58,1309,4.43%,5.51
https://tempus.ru/catalog/watches/casio/g_shock/casio_gma_s2100_1a/,58,1075,5.4%,5.39
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_2100ske_7a/,58,738,7.86%,6.99
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_1370d_1a1/,58,685,8.47%,9.11
https://tempus.ru/catalog/watches/casio/g_shock/casio_gm_2100c_5a/,58,425,13.65%,4.02
https://tempus.ru/catalog/watches/casio/casio_collections/casio_aq_s820w_1a/,58,421,13.78%,4.17
https://tempus.ru/catalog/watches/tissot/prc_200/tissot_t114_417_11_057_00/,57,1642,3.47%,7.8
https://tempus.ru/catalog/watches/casio/g_shock/casio_ga_1000_1a/,57,1418,4.02%,6.49
https://tempus.ru/catalog/watches/casio/casio_protrek/casio_prw_6900y_1e/,57,1351,4.22%,6.27
https://tempus.ru/catalog/watches/casio/g_shock/casio_gwg_2000_1a5/,57,1260,4.52%,6.34
https://tempus.ru/catalog/watches/casio/g_shock/casio_gwg_2000_1a1/,57,828,6.88%,6.15
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_160d_1a/,57,512,11.13%,3.89
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtd_130d_1a3/,57,499,11.42%,4.53
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_30d_1a/,57,494,11.54%,4.48
https://tempus.ru/catalog/watches/casio/g_shock/casio_dw_5600bbr_1e/,57,458,12.45%,4.58
https://tempus.ru/catalog/watches/casio/casio_vintage/casio_a_1100b_1e/,57,433,13.16%,3.52
https://tempus.ru/catalog/watches/anne_klein/,56,5511,1.02%,7.98
https://tempus.ru/catalog/watches/casio/g_shock/casio_dw_5600e_1v/,56,3109,1.8%,7.92
https://tempus.ru/catalog/watches/casio/g_shock/casio_gd_010_1e/,56,859,6.52%,5.5
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_100d_2a/,55,891,6.17%,5.2
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_v300d_1a/,55,720,7.64%,5.48
https://tempus.ru/catalog/watches/casio/edifice/casio_ef_527d_1a/,55,698,7.88%,5.62
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_m307d_1b/,55,378,14.55%,3.49
https://tempus.ru/catalog/watches/casio/casio_collections/casio_ltp_1234ds_4a/,55,305,18.03%,4.99
https://tempus.ru/catalog/watches/casio/casio_collections/casio_mtp_v001l_1b/,54,1750,3.09%,5.31
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_540d_1a/,54,785,6.88%,6.04
https://tempus.ru/catalog/watches/casio/g_shock/casio_dw_5600ubb_1e/,54,661,8.17%,4.69
https://tempus.ru/catalog/watches/casio/edifice/casio_efb_710d_1a/,54,509,10.61%,4.36
https://tempus.ru/catalog/watches/casio/edifice/casio_ecb_2000np_1a/,54,355,15.21%,4.71
https://tempus.ru/catalog/watches/casio/casio_collections/casio_aw_80_1a/,53,1122,4.72%,5.3
https://tempus.ru/catalog/watches/luch/obratnyy_khod/,53,802,6.61%,9
https://tempus.ru/catalog/watches/casio/edifice/casio_efb_730d_7a/,53,683,7.76%,5.37
https://tempus.ru/catalog/watches/casio/edifice/casio_efv_600d_2a/,53,614,8.63%,4.47
